epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,15723.5,inf,0.5602,1.04578,0.86512,0.82081,0.87843,0.561,0.75382,0.49404,0.93657,0.00785029,0.00785029,0.00785029
78,15927,1.08865,0.56278,1.04138,0.85277,0.82551,0.87586,0.55688,0.75468,0.49104,0.93754,0.007822,0.007822,0.007822
79,16129.9,1.10461,0.56494,1.04736,0.85588,0.83312,0.88074,0.55867,0.75144,0.49697,0.93628,0.00779371,0.00779371,0.00779371
80,16333.8,1.09275,0.56293,1.04338,0.8487,0.82611,0.8769,0.5595,0.7506,0.49415,0.93604,0.00776543,0.00776543,0.00776543
81,16537.4,1.10326,0.56144,1.04483,0.84982,0.82733,0.88189,0.56254,0.75245,0.48469,0.93655,0.00773714,0.00773714,0.00773714
82,16741.3,1.07518,0.55017,1.04222,0.85864,0.83163,0.88372,0.56331,0.74934,0.4887,0.93749,0.00770886,0.00770886,0.00770886
83,16944.6,1.10513,0.56527,1.04383,0.8569,0.8326,0.87884,0.55872,0.75394,0.48973,0.9384,0.00768057,0.00768057,0.00768057
84,17147.8,1.09601,0.56577,1.04803,0.8611,0.83033,0.87888,0.55548,0.75024,0.48596,0.93717,0.00765229,0.00765229,0.00765229
85,17351.3,1.10367,0.56716,1.05021,0.85915,0.83617,0.87863,0.55644,0.74944,0.49026,0.93634,0.007624,0.007624,0.007624
86,17555.2,1.08963,0.56501,1.04223,0.86148,0.82963,0.87691,0.55951,0.74938,0.49414,0.93824,0.00759571,0.00759571,0.00759571
87,17759.5,1.10592,0.5668,1.04898,0.85949,0.83847,0.88305,0.56002,0.75046,0.49257,0.93734,0.00756743,0.00756743,0.00756743
88,17963.9,1.09367,0.56071,1.0472,0.86243,0.83671,0.88186,0.56354,0.74815,0.48728,0.93503,0.00753914,0.00753914,0.00753914
89,18168,1.09376,0.55954,1.04256,0.86851,0.83256,0.88251,0.56284,0.74788,0.48892,0.93481,0.00751086,0.00751086,0.00751086
90,18372.5,1.07744,0.56057,1.03511,0.86611,0.83131,0.8839,0.56585,0.74341,0.48949,0.93351,0.00748257,0.00748257,0.00748257
91,18577,1.08602,0.55545,1.03927,0.85768,0.83091,0.88528,0.56331,0.74525,0.49056,0.93376,0.00745429,0.00745429,0.00745429
92,18781.2,1.09969,0.56423,1.0491,0.86419,0.83322,0.88364,0.56262,0.74513,0.48867,0.93439,0.007426,0.007426,0.007426
93,18984.6,1.08553,0.56399,1.04391,0.86281,0.84017,0.88713,0.56534,0.74324,0.48677,0.93497,0.00739771,0.00739771,0.00739771
94,19187.7,1.08758,0.5607,1.0406,0.86088,0.83254,0.8814,0.5637,0.7422,0.48478,0.93376,0.00736943,0.00736943,0.00736943
95,19391.6,1.09102,0.55118,1.03884,0.86083,0.82633,0.87964,0.56338,0.74393,0.48778,0.93388,0.00734114,0.00734114,0.00734114
96,19596,1.09164,0.55704,1.04478,0.85333,0.82948,0.8798,0.56282,0.7446,0.48551,0.93497,0.00731286,0.00731286,0.00731286
97,19799.8,1.07273,0.55433,1.0357,0.85356,0.83196,0.88005,0.56474,0.74462,0.49001,0.93483,0.00728457,0.00728457,0.00728457
98,20003.5,1.09257,0.56308,1.04409,0.85103,0.83206,0.88052,0.56377,0.7445,0.49276,0.93408,0.00725629,0.00725629,0.00725629
99,20207.5,1.08559,0.559,1.04043,0.84794,0.83689,0.88242,0.56366,0.74269,0.48854,0.93392,0.007228,0.007228,0.007228
100,20412.3,1.08363,0.56573,1.04532,0.8571,0.83584,0.88295,0.56467,0.74238,0.48955,0.93417,0.00719971,0.00719971,0.00719971
101,20615.5,1.08781,0.55709,1.0421,0.85642,0.83698,0.88292,0.56442,0.74045,0.48927,0.93375,0.00717143,0.00717143,0.00717143
